,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
164,"KAPITALISASI DALAM PERKEMBANGAN MOTIF BATIK KONTEMPORER TANJUNGBUMI
(Di Desa Telaga BiruKec.Tanjungbumi Kab. Bangkalan)
",asiyah,hetti mulyaningsih S.sos. M. kes,,"RINGKASAN
Manusia memang selalu tidak dapat di pisahkan dari kebutuhan dan
keinginannya sehingga mereka akan berusaha untuk memenuhi kebutuhan dan
keinginannya agar apa yang menjadi tujuannya terpenuhi,dalam sifat dasar manusia
yang seperti itulah menyebabkan manusia tidak dapat di pisahkan oleh materi atau
uang,sehingga mereka terus berlomba-lomba untuk memperoleh materi tersebut
walaupun pada kenyataannya mereka harus bersaing antara manusianya itu tidak
menjadi sebuah penghalang karena uang tidak berbau sehingga seorang individu
akan melakukan cara apapun untuk mendapatkan materi untuk memenuhi
kebutuhannya yang nejadikan mereka kapitalisme,dalam masyarakat kapitalis
menurut marx memang sudah terbagi menurut stratifikasinya sendiri, sehingga
terbentuk kelas borjuis dan proletar dimana borjuis adalah pemilik modal dan
proletar adalah pekerja, dalam hal ini borjuis adalah pemiliki modal home industri
produk batik dan proletar adalah para pengrajin batik, keduanya memiliki hubungan
materi yang sama-sama membutuhkan sehingga kedua kelas ini tidak dapat di
pisahkan.
Tujuan penelitian ini untuk mendiskriptifkan bagaimana motif dulu
mengalami proses revitalisasi dan hubungan dengan pengrajin dalam melakukan
revitalisasi tersebut,dalam penelitian ini menggali data dengan melakukan
observasi,wawancara dengan informan yang dalam menetukan informannya
dengan cara purposive sampling,dan data yang di peroleh oleh peneliti di analisa
menggunakan teknik analisa diskriptif kualitatif dan di perikasa dengan keabsahan
data triangulasi sumber.teori yang di gunakan dalam penelitian ini yaitu Karl
Marx,Kapitalisme dan Alienasi,yang mana dalam kapitalisme sudah terbagi
menurut stratifikasi masyarakatnya sendiri sehingga terbagi menjadi kelas proletar
dan borjuis dimana dalam prosesnya akan ada yang di rugikan sehingga
mengakibatkan Alienasi di salah satu kelas tersebut yaitu proletar.
Hasil dari penelitian ini bahwa proses perkembangan dalam motif batik
Tanjungbumi menjadi motif batik kontemporer Tanjungbumi tidak terlepas dari
tuntutan pasar industri yang di latar belakangi atas kapitalis yang di miliki oleh
pemilik industri dan pengrajin batik sehingga pada akhirnya harus ada yang di
rugikan karena mengalami keterasingan dari produktivitasnya sendiri sehingga
mengakibatnya kehilangan jati dirinya yaitu tidak merasa nyaman pada
pekerjaannya karena diri mereka terkontruksi oleh pasar industri.
Kata kuci : Kapitalisme dan Alienasi"
165,"“PERILAKU NIKAH SIRI  DIKALANGAN MAHASISWA UNIVERSITAS TRUNOJOYO MADURA
(Studi Kasus Kumpul Kebo di kalangan Mahasiswa )
",maria ulfa,iskandar dzulkarnain S.Th.I.M.Si,,"ABSTRAK
Maria Ulfa, NIM 110521100063, Program Studi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, skripsi ini tentang Perilaku Nikah Siri Di Kalangan Mahasiswa Universitas Trunojoyo Madura (Studi Kasus Kumpul Kebo Di Kalangan Mahasiswa) di bawah bimbingan Iskandar Dzulkarnain.S.Th.I.M.Si
Pernikahan siri merupakan pernikahan yang sah secara agama Islam dan tidak sah secara hukum Negara dikatakan sah apabila sudah mengikuti syarat dan rukun nikah yang sesuai dengan syariat agama islam akan tetapi berbeda dengan pernikahan siri yang terjadi dikalangan mahasiswa khususnya di Universitas Trunojoyo Madura dimana pernikahan siri yang dilakukan adalah pernikahan siri yang batil artinya hanya dianggap sah oleh dirinya sendiri dan kurang memenuhi syarat dan rukun dalam nikah siri serta hanya dijadikan kedok untuk melakukan seks bebas
Tujuan penelitian ini untuk menganalisis perilaku nikah siri yang terjadi dikalangan mahasiwa Universitas Trunonojoyo Madura dengan Studi Kasus Kumpul Kebo di Kalangan Mahasiswa Penelitian ini dengan menggali data dilapangan dengan observasi, wawancara mendalam dengan informan yang ditentukan dengan menggunakan teknik purposive sampling kemudian dengan data yang diperoleh oleh peneliti, di analisa dengan menggunakan teknik kualitatif, dan diperiksa dengan keabsahannya dengan triangulasi sumber dan Teori yang digunakan yaitu Teori Max Weber Tindakan Sosial tentang tindakan sosial yang afektif Tipe tindakan sosial ini lebih didominasi perasaan atau emosi tanpa refleksi intelektual atau perencanaan sadar. Tindakan afektif sifatnya spontan, tidak rasional, dan merupakan ekspresi emosional dari individu. Penelitian ini berlokasi di Universitas Trunojoyo Madura, Kecamatan kamal, Kabupaten bangkalan
Hasil dari penelitian ini menunjukkan bahwa perilaku nikah siri yang dilakukan di kalangan mahasiswa Universitas Trunojoyo Madura yang Pertama,  Pernikahan yang dilakukan di kalangan mahasiswa adalah pernikahan siri yang bersifat batil atau tidak sah secara agama karena pernikahan ini tidak disaksikan oleh wali hakim yang sesungguhnya melainkan menggunakan wali hakim sewaan, Kedua,Pernikahan sirri hanya dijadikan tamengatau pembungkus untuk melegitimasi perzinahan ataupun hidup bersama tanpa ada ikatan suami istri(kumpul kebo)yang sebelumnya dilakukan dan adapun alasan melakukan pernikahan ini hanya ingin melakukan seks tanpa dosa dengan kata lain memainkan pernikahan siri demi cinta sayang yang berujung seks bebas tanpa memikirkan dampak ataupun akibat dari perilaku tersebut
Kata Kunci:Pernikahan siri yang bersifat Batil,Kumpul Kebo
"
166,"Distribusi Beras Untuk Keluarga Miskin (RASKIN).
(Studi Kasus: Di Desa Kemoneng, Kecamatan Tragah, Kabupaten Bangkalan).",MUAHAMMAD ZAINUL,"Dr. Dra. Sri Hidayati, M.Si",,"ABSTRAK
Muhammad Zainul 110521100042 Jurusan Sosiologi Fakultas Ilmu Sosial Dan Ilmu Budaya Universitas Trunojoyo Madura. “Distribusi Beras Untuk Keluarga Miskin (RASKIN) di Desa Kemoneng Kecamatan Tragah Kabupaten Bangkalan” yang dibimbing oleh Ibu Dr. Dra. Sri Hidayati, M.Si
Berbagai upaya telah dilakukan pemerintah untuk menanggulangi dan menghapus kemiskinan, antara lain yaitu dengan mengeluarkan program bantuan Beras Untuk Keluarga Miskin (RASKIN). Program tersebut merupakan program pemerintah untuk membantu keluarga miskin yang rawan pangan, agar mereka mendapatkan beras untuk kebutuhan rumah tangganya. Program RASKIN dipahami sulit terjadi penyimpangan karena bentuk pengawasannya tertata dengan baik dan teratur. Namun pada Implementasinya tidak realistis, banyak pejabat pemerintah yang terlibat melakukan penyimpangan. Berdasarkan fenomena inilah mendorong peneliti untuk melakukan penelitian yang berjudul “Distribusi Beras Untuk Keluarga Miskin (RASKIN)” di Desa Kemoneng dengan tujuan ingin mendiskripsikan dan mengetahui proses terjadinya penyimpangan RASKIN yang melibatkan penjabat pemerintahan.
Penelitian ini dilakukan untuk mengungkap suatu permasalahan penyimpangan RASKIN dengan menggunakan metode penelitian diskriptif kualitatif. jenis pendekatan studi kasus sebagai bahan dalam memahami fenomena penyimpangan RASKIN di institusi pemerintahan. Dalam penelitian ini, peneliti berusaha menganalisa kasus penyimpangan program RASKIN dengan menggunakan teori sistem social Buckley yang dipandang relevan sebagai alat analisis untuk mengungkap dan menjawab suatu masalah sosial yang ditimbulkan oleh tidak sinerginya sistem pelaksanaan program RASKIN yang berjalan di institusi pemerintahan.
Hasil dari penelitian ini menunjukan bahwa penyimpangan Distribusi Beras Untuk Keluarga Miskin (RASKIN) disebabkan karena beberapa faktor. Diantaranya adalah faktor lemahnya sistem pengawasan serta tidak berfungsinya sistem yang menjalankan. Namun yang paling berpengaruh dalam proses penyimpangan Beras Untuk Keluarga Miskin (RASKIN) yaitu adanya sistem tambahan sepihak yang dibuat oleh kelompok kepala desa untuk melaksanakan program RASKIN. Adapun penyebab lain yang melatarbelakangi proses penyimpangan yaitu kesalahan data dalam Daftar Penerima Manfaat (DPM), Sehingga memicu terjadi ketidak tepat sasaran dalam penerimaannya.
Kata Kunci: Penyimpangan, Pendistribusian dan Penerimaan RASKIN."
167,PEREMPUAN PEMECAH BATU (Studi Biografi Perempuan Pemecah Batu di Desa Kasengan Kecamatan Manding Kabupaten Sumenep),Ema Lusiyana,"Khoirul Rosyadi,Ph.D","Iskandar Dzulkarnain,S.ThI,M.Si","ABSTRAK
Ema Lusiyana, (100521100008).  PEREMPUAN PEMECAH BATU (Studi Biografi Perempuan Pemecah Batu di Desa Kasengan, Kecamatan Manding, Kabupaten Sumenep). Di bawah bimbingan Dosen Bapak Khoirul Rosyadi, Ph.D dan Bapak Iskandar Dzulkarnaen, S.Th.I, M.Si.
Perempuan dikenal dengan sosok yang lemah lembut dan penuh kasih sayang, perannya sebagai seorang ibu dan pencari nafkah seorang diri membuatnya menjadi sosok yang sangat kuat bagi keluarganya. Perempuan pemecah batu di Desa Kasengan merupakan sosok perempuan tangguh dalam menjalani hidupnya untuk mencari nafkah demi memenuhi kebutuhannya sehari-hari. Rendahnya tingkat pendidikan serta ekonomi keluarga membuatnya harus banting tulang untuk bekerja.
Pendekatan Biografi adalah pendekatan yang menyangkut irama hidup seseorang, dan merupakan upaya peninjauan luas yang dipersingkat terhadap daerah permasalahan yang menarik daerah perhatian. Teori Feminis merupakan sebuah generalisasi dari berbagai sistem gagasan mengenai kehidupan sosial dan pengalaman manusia yang dikembangkan dari persfektif yang terpusat pada wanita.
Hasil penelitian menunjukkan bahwa perempuan yang awalnya hanyalah menjadi Ibu rumah tangga dikehidupan sehari-hari kemudian beralih menjadi seorang pemecah batu untuk dapat meningkatkan harkat dan martabat serta untuk memenuhi kebutuhannya. Yang melatarbelakangi perempuan tersebut menjadi pemecah batu adalah terbatasnya lapangan pekerjaan, rendahnya pendidikan, desakan kebutuhan ekonomi,dan tidak adanya keterampilan di bidang lain.
Kata kunci : Perempauan, Pemecah Batu, Feminis, Kehidupan (Everyday Life).
"
168,"FENOMENA KEKERASAN TERHADAP PEKERJA CAFE PEREMPUAN 
(Studi Kasus Di Cafe Rasa Sayang Kabupaten Lamongan)
",Mirsa Ika Fibriani,"Bangun Sentosa D.H., S.Sos., M.Si, Ph.D",,"Mirsa Ika Fibriani, NIM 110521100055, Program Studi Sosiologi Fakultas
Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, skripsi ini tentang
Fenomena KekerasanTerhadap Pekerja Kafe Perempuan (Studi kasus Di Kafe
Rasa Sayang Kabupaten Lamongan) di bawah bimbingan Bangun Santosa
D.H.,Ph.D
Penelitian ini di latar belakangi bahwa pekerja kafe merupakan pekerjaan
yang tidak susah dimana pekerja kafe harus melayani relasi-relasi yang datang
sehingga orang-orang bisa melampiaskan kemarahan, kejenuhan, ke tempat
hiburan salah satunya adalah kafe. di mana disini orang-orang bisa berkumpul dan
bertatap muka dan bisa melampiaskan semuanya ke tempat hiburan atau kafe.
Tujuan penelitian ini untuk mengetahui bentuk-bentuk kekerasan Apa saja yang
ada di kafe rasa sayang kabupaten Lamongan.
Penelitian ini mengunkan metode kualitatif deskriptf dengan
menggunakan pendekatan kepada masyarakat yang dijadikan informan selaku
objek secara langsung. Peneliti menggali data lapangan dengan observasi dan
wawancara mendalam kepada para informan yang dipilih berdasarkan criteria
dengan menggunakan teknik purposive sampling, data yang diperoleh di analisa
menggunakan teknik analisa deskriptif kulitatif, data diperiksa keabsahannya
dengan triangulsi sumber, agar data yang diperoleh menjadi falit. Teori yang di
gunakan adalah ketidak setaraan Gender Peneliti ini berlokasi di kelurahan
tumenggugan kabupaten Lamongan.
Hasil penelitian menunjukan bahwa adanya bentuk-bentuk kekerasan yang
di lakukan oleh relasi seperti memukul dan menampar.Kekerasan yang di lakukan
oleh mami yaitu bentuk pilih kasih dan kekerasan batinya.Karna faktor
kecemburuan anara relasi yang sudah di dahului purel oleh relasi yang datang
lebih dulu.
Kata Kunci : Kekerasan, Pekerja, kafe, perempuan"
169,Pergeseran Solidaritas Sosial Tanean Lanjheng Bagi Masyarakat Madura (Studi Fenomenologi Masyarakat Lombang Dajah Kecamatan Blega Kabupaten Bangkalan) ,SUMRIDEH,"Dr. Dra. Sri Hidayati, Msi",,"SUMRIDEH, NIM 110521100047, Program Studi Sosiologi fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, skripsi ini tentang Pergeseran Solidaritas Sosial Tanean Lanjheng Bagi Masyarakat Madura (Studi Fenomenologi Masyarakat Lombang Dajah Kecamatan Blega Kabupaten Bangkalan) di bawah bimbingan Dr. Sri Hidayati, Msi
Tanean Lanjheng adalah bukti kekeraban masyarakat madura, Tanean Lanjheng atau halaman panjang merupakan adat budaya madura dimana rumah yang di anut masyarakat madura dalam pemukiman Tanean Lanjhengini terdapat beberapa rumah yang dibangun berjejeran dari barat ketimur dan menghadap keselatan, dalam sebuah pemukiman Tanean Lanjheng terdapat rumah, dapur, kandang dan langgar serta dapur di bangun berhadap-hadapan di depannya serta langger berada di bagian paling barat. Kekerabatan dalam kompleks pemukiman Tanean Lanjheng sangatlah erat dan kokoh Tanean Lanjheng itulah yang sebenarnya merupakan satuan sosial paling bermakna di Madura.
Tujuan dalam penelitian ini yaitu untuk mengetahui pergeseran solidaritas sosial Tanean Lanjheng bagi masyarakat madura dengan studi fenomenologi Masyarakat Lombang Dajah, kecamatan Blega, Kabupaten Bangkala. Penelitian ini menggali data dengan observasi, wawancara mendalam, dokumentasi dan FGD dengan informan yang di tentukan menggunakan teknik purposive sampling  kemudian data yang di peroleh di analisa dengan menggunakan metode kualitatif dengan pendekatan fenomenologi, dan di periksa keabsahannya dengan triangulasi sumber dan teori yang di gunakan adalah teori Emile Durkheim yaitu solidaritas sosial 
Hasil penelitian yang dilakukan di Desa Lombang Dajah, kecamatan Blega, kabupaten Bangkalan menunjukkan bahwa sudah terjadi pergeseran solidaritas sosial yaitu mulai dari pergeseran interaksi, gotong royong, pembagian kerja dan hukuman. interaksi yang ada di Desa tersebut jarang sekali dilakukan  karena masyarakat cenderung individualistic, yang semula gotong royong selalu terpelihara oleh keluarga Tanean Lanjhneg namun sekarang ini masyarakat cenderung mengerjakan aktivitas sendiri-sendiri hal tersebut disebabkan karena profesi yang berbeda-beda dan anggota keluarga disibukkan oleh pekerjaannya masing-masing, pembagian kerja yang semula seorang laki-laki yang berkewajiban mencari nafkah namun pada saat ini tidak ada pembagian pekerjaan dalam keluarga Tanean Lanjhneg anggota keluarga baik laki-laki maupun perempuan sama-sam bekerja untuk mencari penghasilan yang lebih.

Kata Kunci: Solidaritas Sosial Tanean Lanjhneg
"
170,"PERILAKU MEROKOK
(Studi Kasus Pada Siswa SMPN 1 Mojoagung, Kecamatan Mojoagung, Kabupaten Jombang)
",Saptyohadi Jayeng Praboewo,"Khoirul Rosyadi, Ph.D",,"ABSTRAK
Saptyohadi Jayeng Praboewo,Nim: 08.05.211.00067. Program studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. Skripsi ini tentang Perilaku Merokok (Studi Kasus Pada Siswa SMPN 1 Mojoagung, Kecamatan Mojoagung, Kabupaten Jombang) Di bawah bimbingan Khoirul Rosyadi Ph.D
Penelitian ini bertujuan untuk menggali lebih dalam tentang Perilaku Merokok di kalangan Remaja khususnya di SMPN 1 Mojoagung. Lokasi penelitian ini adalah di SMPN 1 Mojoagung, Kab Jombang. Dengan menggunakan pendekatan studi kasus karena penelitian ini digunakan untuk mengetahui dan memahami tentang apa yang di alami oleh Subyek penelitian, meliputi Prilaku, Presepsi, Motivasi, Tindakan dan lain-lain. Teori yang di gunakan dalam penelitian ini adalah Teori Tindakan Sosial (Marx Weber). Teori ini di anggap tepat untuk menganalisis Perilaku merokok yang terjadi di SMPN 1 Mojoagung.Informan yang di gunakan berjumlah 5 Orang.
Teknik pengumpulan data yang di gunakan adalah menggunakan wawancara mendalam. Teknik analisis data yang digunakan adalah Deskriptif kualitatif metode pemeriksaan keabsahan data menggunakan Triangulasi dengan sumber
Hasil penelitian ini menunjukkan bahwa ada beberapa faktor yang mempengaruhi perilaku merokok pada usia remaja, diantaranya yaitu peran Orang Tua, Teman sebaya dan Media.
Kata Kunci: Perilaku Merokok
"
171,"INTERAKSI SOSIAL PEMILIK PABRIK TAHU DI KAMPUNG JUNOK KABUPATEN BANGKALAN
(Studi Kasus Pada Masyarakat Sekitar Pabrik Tahu di Kampung Junok)
",DHARMA GUNA ADI PUTRA,"DRS.SUBANDRI,MS","KHOIRUL ROSYADI,SS.,M.Si.,Ph.D","ABSTRAK

INTERAKSI SOSIAL PEMILIK PABRIK TAHU DI KAMPUNG JUNOK KABUPATEN BANGKALAN
(Studi Kasus Pada Masyarakat Sekitar Pabrik Tahu di Kampung Junok)


Penelitian ini dilakukan di Kabupaten Bangkalan tepatnya di Kampung Junok. Tujuan penelitian ini adalah ingin mengetahui bentuk interaksi sosial antara pemilik pabrik tahu dengan masyarakat di sekitar junok. Metodologi yang digunakan dalam penelitian ini menggunakan perspektif kualitatif deskriptif dengan menggunakan pendekatan studi kasus.
Hasil dalam penelitian ini adalah Interaksi sosial pemilik pabrik tahu dengan masyarakat junok juga dengan turut serta dalam kegiatan yang diadakan rutin oleh warga seperti, kegiatan memperingati hari kemerdekaan republik Indonesia dan juga pemilik pabrik tidak lupa memberi bantuan berupa dana agar kegiatan tersebut dapat berjalan lancar.Hal ini  termasuk juga dalam kerjasama tradisional yaitu kerjasama yang terjadi karena adanya sistem tradisi yang kondusif. 
Selain itu,Interaksi sosial yang terjadi antara pemilik pabrik tahu dengan masyarakat dengan cara tatap muka atau saling menyapa jika antara pemilik pabrik dan masyarakat saling bertemu sehingga ada komunikasi yang terjalin antara pemilik pabrik dengan masyarakat dan terjadi interaksi sosial antara individu dengan individu.

Kata Kunci: Interaksi Sosial, Pemilik Pabrik Tahu
"
172,"KONSUMSI NARKOBA DI KALANGAN MAHASISWA
(Studi Kasus Pada Mahasiswa di Madura )
",FAUZAN HARIRI,"BANGUN SENTOSA DWI.H,Ph.D","BANGUN SENTOSA DWI.H,Ph.D","Fauzan Hariri Prodi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya. KONSUMSI NARKOBA DI KALANGAN MAHASISWA (Studi Kasus Pada Mahasiswa Madura ) di bawah bimbingan Bangun Sentosa D.H,S.Sos.,M.Si.,Ph. D. Penelitian ini dilakuan di Universitas Trunojoyo Madura Bangkalan dengan Judul: “KONSUMSI NARKOBA DI KALANGAN MAHASISWA (Studi Kasus Pada Mahasiswa di  Madura )”, yang bertujuan untuk mengetahui pengguna konusmsi Narkoba di kalangan Mahasiswa Universitas Madura.
Penelitian ini adalah penelitian kualitatif deskriptif, pendekatan yang digunakan adalah pendekatan studi kasus. Informan penelitian ini mahasiswa yang mengkonsumsi Narkoba. Penentuan informan menggunakan model snowball Exponential Discriminative Modle. Teknik pengumpulan data didasarkan pada dua kelompok pengumpulan data, yakni data sekunder dan data primer. Data sekunder diperoleh melalui buku-buku, artikel, hasil-hasil penelitian sebelumnya yang berkaitan dengan permasalahan yang diteliti. Data primer diperoleh melalui observasi dan wawancara mendalam dengan subyek penelitian. Teknik analisis data pada penelitian ini menggunakan reduksi data, penyajian data dan penarikan kesimpulan. Teori yang digunakan dalam penelitian ini adalah teori Prilaku menyimpang, Sosialisasi dan Kontrol sosial.
Hasil penelitian diketahui, Pertama; Mahasiswa dalam mengkonsumsi narkoba di lakukan secara bersama-sama dengan teman yang sudah terbiasa mengkonsumsi narkoba, untuk mendapatkan barang haram tersebut biasanya denga patungan. Saat mengkonsumsi narkoba mahasisa dipimpin oleh seorang Joki yang bertugas memimpin teman yang lain. dalam mengkonsumsi narkoba mahasiswa melakukan di rumah ketika sedang sepi, hal ini dilakukan untuk menjaga kemanan dan resiko. Kedua; Beberapa pola pemakaian narkoba yang dilakukan oleh mahasiswa antara lain: 1. Coba-coba (Eksperimental), 2. Pola pemakaian Sosial, 3. Pola pemakaian Situsional. Ketiga; Faktor penyebab mahasiswa mengkonsumsi narkoba anatara lain: Tersedianya Narkoba, disorganisasi keluarga, lemahnya masyarakat sekitar sebagai kontrol sosial, dan teman sebaya.

Kata kunci : Mahasiswa, Prilaku Menyimpang, Sosialisasi, Kontrol Sosial
"
173,"Perilaku Sosial Clubber Remaja 
(Studi Kasus: Perilaku Sosial Clubber Remaja Di Cafe Zurin Resto Kota Sumenep)",Tamam musrab,"iskandar dzulkarnain,S.Th.I.M,Si",,"ABSTRAK
Penelitian ini  dilatar belakangi oleh suatu Keberadaan  Cafe  (diskotik mini) selama ini tidak 
hanya ada di kota-kota besar, akan tetapi sejauh ini dengan perkembangan zaman yang semakin maju 
yang juga tidak luput dari perhatian mengenai kehidupan malam adalah Di daerah Sumenep Madura 
tepatnya di Desa Kepanjen, Kecamatan Kota, Kabupaten Sumenep berdiri sebuah bangunan remangremang yaitu Cafe Zurin Resto.  Cafe  Zurin Resto tersebut adalah sebuah  tempat hiburan yang 
saat ini di idolakan oleh remaja Kota Sumenep. 
Penelitian ini menggunakan metode deskriptif kualitatif dengan melakukan pengamatan 
langsung di lapangan serta melakukan wawancara mendalam dengan  Clubber remaja di Kabupaten 
Sumenep  yang  ditentukan  melalui  Purposive  Sampling  yakni  pemilihan  sampel  berdasarkan 
karakteristik  tertentu  yang  dianggap  mempunyai  karakteristik  populasi  yang  sudah  diketahui 
sebelumnya. Teknik pengumpulan data didasarkan pada dua kelompok pengumpulan data, yakni 
data sekunder dan data primer. Data sekunder diperoleh dari buku, jurnal. Data primer diperoleh 
melalui observasi dan wawancara mendalam dengan subjek-subjek penelitian. Teknik analisis data 
pada penelitian ini menggunakan reduksi data, penyajian data dan penarikan kesimpulan. Teori 
yang digunakan teori Paradigma Perilaku Sosial.
Hasil  penelitian  ini  diketahui  bahwa:  telah  didapat  kenyataan  remaja  di  Sumenep  yang 
mengunjungi Café  Zurin Resto karena ajakan temannya dan untuk mengetahui bagaimana Clubber 
menjalani kehidupan malamnya di dalam sebuah Café Zurin Resto tentang berbagai aktivitas para 
Clubber saat dugem, khususnya kalangan remaja di Kabupaten Sumenep.
Kata kunci: Perilaku Clubber, Remaja, Cafe Zurin Resto"
174,"PENGGUNAAN KATA JANCUK DI KALANGAN REMAJA PUTRI DI KOTA SURABAYA
(Studi Kasus Penggunaan Kata Jancuk Dalam Pergaulan Di Komunitas Penggemar Music Metal Surabaya Underground )
",Anas Surya Pratama,"Bangun Sentosa Dwi Haryanto S.Sos., M.Si, Ph.D",,"Anas Surya Pratama ( 110521100007 ) Program Studi Sosiologi, Fakultas Ilmu Sosial & Ilmu Budaya.Universitas Trunojoyo Madura. Penggunaan kata jancuk di kalangan remaja putri di kota Surabaya ( studi kasus penggunaan kata jancuk dalam pergaulan di komunitas penggemar musik metal surabaya underground ), di bawah bimbingan dosen pembimbing Bangun Sentosa Dwi Haryanto S.Sos, M.Si, P.Hd.
Penelitian ini dilakukan di Kota Surabaya yang difokuskan pada satu komunitas surabaya underground dengan Judul “ Penggunaan kata jancuk di  kalangan remaja putri di Kota Surabaya ( studi kasus penggunaan kata jancuk dalam pergaulan di komunitas penggemar musik metal surabaya underground )” yang bertujuan untuk mengetahui apa yang menyebabkan remaja putri tersebut berkata jancuk ? dan di dalam adat istiadat masyarakat Surabaya sendiri berkata jancuk bagi kaum perempuan merupakan hal yang tidak pantas dibandingkan dengan kaum laki – laki yang sering mengucapkannya ketika disaat meluangkan waktu untuk bersantai & bercengkerama bersama teman - teman.
 Penelitian ini adalah penelitian deskriptif & kualitatif yang sebagaimana dilakukan pendekatan secara fenomenologis. Informan penelitian adalah remaja putri antara umur 12 – 25 tahun yang mewakili 5 orang dalam 1 komunitas. Metode penggunaan informan dengan purposive sampling yakni pemilihan berdasarkan kerakteristik informan yang sudah diketahui sebelumnya. Teknik pengumpulan data berdasarkan dua kelompok yaitu sekunder & primer. Data sekunder diperoleh dari referensi buku, catatan kaki, artikel, maupun hasil penelitian sebelumnya yang sesuai dengan topik permasalahan yang diteliti. Data primer didapatkan melalui observasi dengan wawancara terhadap informan secara mendalam terhadap subjek penelitian. Teknik analisis data menggunakan reduksi data, penyajian data, sehingga dapat ditarik kesimpulannya. Teori yang digunakan dalam penelitian ini adalah teori interaksionisme simbolik Juergen Habermas & Herbert Blumer.
Hasil penelitian tersebut dapat menunjukkan bahwa dalam realita sosial remaja di kota surabaya ini mempunyai suatu yang menarik dalam  hal berinteraksi sosial yaitu berkata jancuk dalam berkomunikasi, hal ini sudah menjadi pada umumnya ketika diucapkan disaat lagi bercengkerama, maupun bersantai bersama teman – teman, bahkan remaja putri juga tidak segan – segan ikut terlibat dalam mengucapkannya, yang semestinya bagi adat istiadat di kota Surabaya sendiri merupakan hal yang tidak pantas ketika remaja putri mengucapkannya. Hal ini didasari karena merupakan sebagai penanda identitas ciri khas arek suroboyo dalam hal bertutur kata  kepada teman – teman dalam berkomunikasi di kehidupan sehari – hari.
Kata Kunci: Penggunaan Kata Jancuk, Remaja Putri

"
175,"Kesetaraan Gender Dalam Industri Batik Tanjung Bumi
(Studi Kasus Desa Paseseh Kecamatan Tanjung Bumi
Bangkalan )",MOHAMMAD KHOLIL,"DR. Dra. Sri Hidayati, M.Si",,"Moch. Kholil, 100521100087, Kesetaraan Gender Dalam Industri Batik Tanjungbumi,
Prodi Sosiologi Universitas Trunojoyo Madura, Skripsi, Program Studi Sosiologi,
Fakultas Ilmu Sosial Dan Ilmu Budaya, Universitas Trunojoyo Madura, 2015.
Dahulu kegiatan membatik hanya dikhususkan bagi kaum perempuan sebab
membatik dianggap pekerjaan yang membutuhkan ketelatenan, kesabaran dan merupakan
pekerjaan domestik. Namun pada zaman sekarang batik khususnya batik tanjungbumi banyak
dikerjakan oleh pembatik laki-laki. Adanya fenomena tersebut membuat peneliti tertarik
melakukan penelitian mengenai kesetaraan gender yang terdapat di lingkungan kerja
pembatik. Penelitian ini bertujuan untuk mengetahui kesetraan gender dalam seni batik
tanjungbumi dan faktor apa yang menyebabkan terjadinya kesetaraan gender tersebut.
Metode penelitian yang digunakan dalam penelitian ini menggunakan metode
penelitian kualitatif dengan menggunakan pendekatan studi kasus. Pada penelitian ini peneliti
berusaha memahami peristiwa dan hubungan terhadap orang-orang yang yang berbeda dalam
situasi-situasi tertentu tanpa campur tangan dari pihak luar. Pendekatan studi kasus digunakan
dalam penelitian ini bertujuan untuk menjelaskan suatu fenomena yang dialami oleh para
pembatik mengenai kesetaraan gender dalam lingkungan kerja batik tanjungbumi yang
terdapat di Desa Paseseh, Kecamatan Tnjungbumi, Kabupaten Bangkalan.
Hasil penelitian menunjukkan Terbentuknya kesetaraan gender yang terdapat di
industri kerajinan batik tanjungbumi di Desa Paseseh, selain tidak adanya pengkotakan dalam
pemilihan jenis pekerjaan, ditunjang pula dengan adanya kesempatan yang diberikan kepada
pembatik baik pembatik laki-laki maupun perempuan untuk selalu memanfaatkan sumber
daya yang ada untuk mengembangkan kemampuan pembatik dalam seni batik terutama batik
tanjungbumi, selalu diikutserta dalam memberikan pendapat serta keahliannya untuk
membantu teman kerja yang lain tanpa memandang perbedaan jenis kelamin, selain itu
pembatik laki-laki ataupun pembatik perempuan diberi hak berupa sebuah kekuasaan atau
wewenang untuk mengambil keputusan yang terbaik untuk dirinya sendiri ataupun bagi home
industri dimana pembatik bekerja, serta adanya sistem pemberian upah yang adil tanpa
melihat jenis kelamin tertentu melainkan dilihat dari kesulitan motif dan hasil kerjanya
membuat penampakan kesetaraan gender dalam seni batik tanjungbumi lebih terlihat jelas.
Kata Kunci: Batik Tanjungbumi, Pembatik Laki-Laki dan Pembatik Perempuan,
Kesetaraan Gender, Akses, Kontrol, Partisipasi dan Kesejahteraan."
