userName;score;at;content;;
vial work;5;07/11/2023 08:42;Matap petugas kai jjur dan amanah, hari ini saya naik kreta dari psar senen to cirebon stlah sampai stasiun crb saya turun sudah lewat 3 gerbong saya mau infoin sodara buat jemput disitu baru ngeuh hp saya gada tnp pikir panjang lngsung balik lg k gerbong kai alhamdulillah udah di amanin sm petugasnya dan di kmbalikan ke saya 🙏;;
Aziz Kartiko Nuralim (izkoLim);2;07/11/2023 08:23;Ketika pembuatan akun harusnya ada verifikasi terlebih dahulu untuk email atau no telp. Karena kasus saya salah dalam penulisan email. tidak bisa diganti karena harus mengirim verifikasi ke email sebelumnya yg notabene penulisannya salah.;;
Fikri 1;5;07/11/2023 08:23;Good;;
Ravli johan;1;07/11/2023 06:41;Mau perjalanan jogja cikarang naik kereta biar ga macet malah dipaksa piknik dulu transit seharian di purwokerto ngapainn coba ramutu, biasa 8 jam malah jadi 36 jam, waktu tempuh segitu naik supra sambil tangan kiri pegangin batok ben ora geter aja udah bisa pulang pergi, bintang 1 dulu lah min, kalau ada 100 nanti di tambahin 2 bintangnya;;
Beny Wae;1;07/11/2023 04:15;Aplikasi update terbaru bagus, tp kenapa harga2 d buat class berbeda2 padahal fasilitas sama d dlm kereta, katanya kereta untuk masyarakat, semoga ada perubahan.;;
Eko Seto Kurniawan;1;07/11/2023 04:15;Ini gimana mau pesen tiket KA lokal Bandung pas di ketik ngga mucul stasiun keberangkatan & stasiun tujuannya, gimana bisa tau jadwal kereta & harga tiketnya...;;
Dhe Dimon;5;07/11/2023 03:40;Buat Ide lagi yg bikin Penumpang Bandung Gambir Kembali Pulih, Argo Parahyangan SEPI 😭😭😭, Adain lagi KA PANGANDARAN, Buat Relasi2 Pendek Tp Harga Mantap, Kyk KA CIKURAY,;;
Nicolas Jemi Priangga;3;07/11/2023 03:13;Error terus saat mau pesan tiket kereta. Padahal jika dilihat pada aplikasi masih tersedia untuk penjualan tiket keretanya. Saya baru bisa beli tiket setelah mencoba beberapa kali, padahal jaringan cukup bagus. Mohon untuk meninjau kembali aplikasinya supaya hal tsb. tidak terulang kembali. Terima kasih;;
finda cahya nufia;1;07/11/2023 03:01;Lebih suka aplikasi yang lama. Mau cari tiket pas search stasiun gk pernah bisa. Keterangannya gangguan.;;
Mrizki Adli;1;07/11/2023 02:09;Apk gajelas , di suruh aktifasi tapi gagal pas coba lagi data terdaftar tp gamau aktifasi.;;
afrizall rido;1;07/11/2023 02:00;Tiket lokal tidak berfungsi;;
Desty Bregita;1;07/11/2023 01:28;Gak jelas regulasi KAI nih, tiket baru dibuka semalam kok udh soldout. Booking gak jelas H- berapa²nya.;;
Dzul Kifly;5;07/11/2023 01:09;Siiiippppp;;
Samsul Arifin;4;07/11/2023 01:07;Semoga makin memudahkan Masyarakat menggunakan kereta api, terima kasih kai;;
Adnan Kurniawan;1;07/11/2023 00:39;Pengen naik kereta api jadi males Karena susah pesan tiket nya,nyari lewat aplikasi ini malah gak ada kerata api yang menuju stasiun yang mau di tuju;;
H. A.;1;07/11/2023 00:35;Kenapa uprgade akun ke basic, untuk beli tiket kok daftarnya susah banget;;
Rezki Sumarsono;1;06/11/2023 23:59;Lebih suka versi lama tampilan lebih jelas dan mudah dipahami. Tiket yang tersedia pun otomatis ter filter mana yang habis mana yang masih ada;;
hensan san;1;06/11/2023 23:19;Tolong didengar dan diperbaiki,bisa bisa nya log out sendiri waktu mau check in,coba log in susah,malah dikunci 1 jam ini akun,nyusahin sumpah;;
Mikikasari;1;06/11/2023 22:40;Lebih mudah versi lama ini rumit banget;;
Haidar Baharudin;3;06/11/2023 21:20;buruk;;
metal detector ngapak kebumen;1;06/11/2023 18:24;namanya acces, tapi nggak bisa buat akses;;
Rahardian Aji;1;06/11/2023 17:01;Error trus merugikan;;
dwi rosmayanti;1;06/11/2023 15:40;Aplikasi gak jelas kayak ginian dipake...KAI uda maju, minta tolong wooyyy wooooyy aplikasinya woooyyyy;;
Putri Ani;1;06/11/2023 15:23;Ratingnya semua bener2 buruk. Ya emang buruk, gimana enggak loadingnya aja luamaaa. Kalo org keburu2 ini mah gabisa;;
David arief s;5;06/11/2023 15:09;Aplikasi yg luar biasa...keren dan manfaat. Masukan ;;
Akbar Budi;1;06/11/2023 14:51;Aplikasi apa ini, udah berulang kali pesan tiket slalu gagal di pembayaran. Bahkan sudah secepat mungkin ngetiknya.;;
Aris Kurniawan;1;06/11/2023 13:57;Update nya malah nyusahin parah banget KAI;;
Bulan Magengs;2;06/11/2023 13:24;Face recognition nya gagal mulu, padahal muka gue sendiri. Apakah kudu coba pake muka org lain dulu? Pliss dehhh;;
Sabarun abu ihsan;1;06/11/2023 13:24;Sy beli pulsa di apk ini pulsanya gak masuk dananya gak tau kpn kembali csnya cm jwb tunggu jwbn pihak terkait entah smpe kpn;;
Pria Jawa;1;06/11/2023 12:10;Dari manapun, dan waktu kapanpun, tiket ekonomi selalu kosong dgn alasan HABIS!! Emang sistem nya dari dulu ga berubah, cuma permainan calo orang dalam.. TAEKKK;;
4Real chanel;1;06/11/2023 12:02;Penilaian saya bukan untu apknya tpi terhadap para petugasnya yang kurang bisa baik dalam hal melayani penumpangnya mungkin memang sihh kereta kai sekarang lebih bersih tpi pelayananya yang kurang bagus ketimbang dulu apalagi untuk mekanismenya pembatalan tiket sangat sangat kurang jelas khususnya di kota Mojokerto;;
ibnuu. xd;1;06/11/2023 12:00;semenjak update timeout trs, tidak ada masalah pada koneksi saya, tapi aplikasi selalu time out. login pun sulit time out trs. tiket kereta ga ada di aplikasi tapi di web ada.;;
Lukman Febrianto;1;06/11/2023 11:03;Mhon maaf kmrn saya emang mnta pembatalan dan kena cas 30% tapi kok pengembalian sisa uang.a kok lama sekali yaaa....tlong dong jangan dipersulit;;
Okta Viani;5;06/11/2023 10:04;Mau kasih binta 100/10 deh untuk access by KAI nih ,sangat membantu sekali untuk semua keluhan dan saran , customer servis nya juga sangat ramah dan baik dalam menjelaskan cara pembatalan keberangkatan dan ubah jadwal keberangkatan kai bagus banget deh ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐;;
warno suwito;1;06/11/2023 08:35;Aneh, versi terbaru malah jelek ui nya;;
Hanafi afina;1;06/11/2023 08:19;Udah 2x tiap pembayaran melalui kaspro tiba2 failed dan saldo hilang + tidak dapat tiket..;;
Muhammad Dzun;1;06/11/2023 08:06;Aplikasinya makin kesini makin ribet, mending yang dulu;;
Khairun Anisa;1;06/11/2023 07:27;Lebih suka fitur yang lama karena fitur yang baru ini agak eror sudah dibayar tapi malah gagal😭😭😭😭😭😭😭;;
Arif Nugroho;1;06/11/2023 07:26;Kebanyakan ubah jadwal dan kereta;;
anonymous boy;1;06/11/2023 07:10;Coba dikasih fitur NFC min biar nanti gak ngantri lagi;;
Was Lani;1;06/11/2023 06:49;Pesan lewat sini tambh ribet tempat duduk gg bisa satu kursi masa pisah aneh gg membantu malah tambh rued;;
Bekti Septiawan;1;06/11/2023 06:29;ketika cari stasiun, koneksi tidak ada dan gk muncul stasiun;;
Pipik Mulyadi;5;06/11/2023 06:05;Mantaf;;
Panca Prasetya Andi putra;1;06/11/2023 05:21;Aplikasi opo iki, dari kemaren cari tiket kok jatwal kosong ae Beli tiket offline di stasiun gak bisa Nak sini cari jatwal kosong terus, Perbaiki sistem, masak app KA negeri kek gini;;
Hermawan Wawan;1;06/11/2023 05:15;Makin update makin jelek dan ga jelas.;;
Nasar Rudin;1;06/11/2023 04:38;jelek apk sering gangguan;;
Andi Pga;1;06/11/2023 04:31;Aplikasih setelah di update kagak ada gunanya tambah susah di pakai ,malah mempersulit .;;
Adinda Dewi;1;06/11/2023 04:27;Anggel daftare ribet;;
Dharma satria;2;06/11/2023 04:03;Kak devoloper tolong tambahkan pembatalan ubah jadwal dan railfood karena kalo misalnya mau batalin kereta lokal harus ke stasiun dulu ribet;;
Andi Kurniawan;1;06/11/2023 03:26;Aplikasi nya buruk sekali;;
Mas Umar;5;06/11/2023 02:41;Sangat menyenangkan naik kerta api perjalan lancar .....😊;;
Michi Kubar;5;06/11/2023 02:26;Terima kasih.. Sudah bisa sender.. Topsekalii;;
ardner prasetya;1;06/11/2023 02:08;Semakin di update malah bapuk nih aplikasi... Pembelian tiket kereta lokal jd sering tdk muncul jadwal.. sekalinya muncul lngsung habis tiketnya... KAI Acces mohon bener bener bener perbaikannya;;
miftah mifff;1;06/11/2023 00:31;Kok pemesanan kadaluarsa terus gimana inii ahh;;
Yogi Chik;2;06/11/2023 00:29;Update itu yg lebih inovatif bukan malah membingunkan,,;;
Nayla Putri_Vindi Rahadian;5;06/11/2023 00:16;Usul perbaikan, agar Tiket dan riwayat transaksi kereta cepat menjadi satu dengan kereta antar kota lain;;
Mi_5555;1;06/11/2023 00:11;kai sekarang jadwalnya suka molor. ngga kayak dulu.;;
Nuansa Alam;1;05/11/2023 23:24;Lebih enak pake yg lama..versi baru ribet;;
Prass U;1;05/11/2023 17:44;apk ga guna, error terus minimal nyari programmer yg proper lah sekalipun mahal, mungkin ini yg murah asal jadi;;
sukma sahara;1;05/11/2023 17:39;Lagi lagi jam 12 mlm g muncul jadwal kereta lokal 13 nov 2023. Niat g sih? 6 nov 2023. makin ke sini makin kurang reliable.;;
Rakha Aditya;1;05/11/2023 17:32;minimal tambahin pembayaran lewat dana lah anj ribet pake qris;;
Jumali Rohmawanto;1;05/11/2023 17:28;Susah;;
Alfian Fardiansyah;1;05/11/2023 17:18;Aplikasi tidak berguna, gak mau berbenah, gak ada perbaikan.. tiket ekonomi lokal selalu menampilkan JADWAL KOSONG, ketika refresh terus tiba2 tiket habis..;;
Agatha Aprillia;1;05/11/2023 17:11;Makin susah, saya mau beli tiket harus member, sudah mau daftar member sudah mencantumkan data sesuai yang biasa saya log in kai gabisa. Ini caranya gimana ya Makin diperbaharui gak makin gampang dan efisien makin menyusahkan;;
Yudistira Reza Prawira;1;05/11/2023 14:49;Mohon maaf jujur lebih suka aplikasi lama kai access khususnya membeli tiket harga khusus 2 jam sebelum pemberangkatan / GO show. Aplikasi lama ketika jam tepat 2 jam sebelum pemberangkatan harga otomatis ganti, sekarang error terus harga tetep udah 30 menit berjalan, war tiket akan selalu kalah kalau seperti ini, seharusnya dipermudahkan lagi karna aplikasi baru karna update baru, baru ini kecewa dengan aplikasinya.;;
Fajar Yusuf;1;05/11/2023 14:39;Aplikasi gajelas bayar susah;;
Eriko Mandala;1;05/11/2023 14:04;Jujur masih suka yang dulu, yang sekarang entah kenapa suka error. Dari yang Pertama tiba tiba disuruh Daftar ulang lagi dari awal (seperti masuk/login yang butuh email/no hp). Dan saran sih ketika kita tidak punya kuota internet, mungkin bisa disediakan offline aplikasi, yang hanya untuk nampilin tiket nya saja.;;
Nur;1;05/11/2023 13:59;Lebih suka versi lama , yang ini agak ribet dan ngga bisa langsung lihat jadwal keretanya;;
Herman Kurniadi;5;05/11/2023 13:42;Mudah untuk pencarian;;
Risya;1;05/11/2023 12:38;Bad .. Membingungkan;;
Mohammad Alhan Baghiz Asyhari;1;05/11/2023 12:02;Tolong ditingkatkan kualitas apps nya. Setiap minggu mau beli tiket malang gubeng selalu tidak ada rute. Di rubah blimbing gubeng baru muncul. Coba search malang sby kota malah ada. Jaringan internet saya aman. Dan sudah 2 minggu lebih setiap pesan di hari minggu dini hari jam 00.00 seperti itu;;
BRTG;1;05/11/2023 11:53;Kenapa kursi nya penuh terus padahal mau pesen 5h sblm berangkat, q ganti mundurin tglnya sama saja penuh tdk ada kursi,biasanya masih ada banyak yang kosong(apk lama) ini kok penuh terus apa apk error;;
Ida Parida;1;05/11/2023 11:37;susah untuk pembelian lokal knpa ya;;
Alvin Nuril Fadilah;1;05/11/2023 11:32;Yg lama balikin ajaaa;;
Kusuma Ardinas Pranata;1;05/11/2023 11:30;Tadinya mau berinovasi, eh malah bikin tambah ruwet. Jadi ngaco KAI sekarang.;;
Herdis Herdis;1;05/11/2023 09:37;Aplikasi kurang jelas tampilannya. Tidak seperti tampilan yang sebelumnya. Mohon diperbaiki;;
Qhyppy Jpl;1;05/11/2023 08:38;"Di top up Gak masuk masuk tapi saldo buat top up kepotong, parah aplikasinya masuk menu bantuan juga cuman robot harusnya bisa chat dong sama cs aplikasinya kurang bermutu saldo hilang GK masuk"" ke aplikasi KAI";;
Ilyas Yz;5;05/11/2023 08:25;Aplikasi yang sangat membantu disaat kita untuk membeli tiket kereta;;
rhuslan asi Asi;3;05/11/2023 07:42;mau pake KAI Access untuk ke PS Senen Jkt, baca komen ny sinis, jadi up aja pake KA ny. Mohon maaf kasi bintang 3;;
Yuniarti Hadisafitri;1;05/11/2023 07:15;Ribet aplikasinya..enk yg lama;;
Obstetri Obs;1;05/11/2023 06:11;tiket sudah dibayar berhasil dan udah di cek tiketnya ada. tiba2 dihari H tiketnya hilang, aneh. padahal di pembayaran berhasil;;
Rohmat Hidayat;1;05/11/2023 05:50;Aplikasi jelek aplikasi sampah suka logout teruss harus nya di setiap stasiun ada access Wi-Fi ini malah jadi harus jajan paket data belum lagi harus top-up e wallet untuk pesan tiket jadi tambah ribet;;
Ratna suminar;3;05/11/2023 05:22;lebih suka fitur yang dulu dimana tiket yang masih tersedia dan tidak tersedia simpel, gak kaya sekarang!!;;
Rudy Ng;1;05/11/2023 05:01;Aplikasi tidak jelas.. tidak bisa pesan tiket dari aplikasi karena jadwal kosong.. mending hapus aja kalau tidak bisa pesan tiket dari aplikasi.. buat susah aja..;;
Mohammad Solechan;1;05/11/2023 04:59;Tampilan aplikasi yang baru sangat membingungkan sekali😤 Kembalikan ketampilan aplikasi yang lama dan itu lebih efisien👍;;
Herman To;1;05/11/2023 03:50;Kenapa tidak bisa pilih kereta api yang lokal. Tolong segera diperbaiki, belum bisa juga pesan tiket KA lokal. Jadwal kosong. Akan tetapi KA lokal masuk di pencarian tiket KA bandara. Tidak bisa pilih kursi juga. Untuk Medan - Binjai. Kalau masalah bisa selesai bintang 5;;
bambang gunawan;1;05/11/2023 03:43;Destinasi tujuan tidak ada , bingung aplikasi yg terbaru malah banyak masalah;;
Mahreen Mahira;1;05/11/2023 02:01;Bayarnya susah udah di tautin ke ovo juga bermasalah terus...makin ribet aja mau naik kereta teh;;
Bob Marley;1;05/11/2023 01:50;Aplikasi gk jelas, gk bsa pesan tiket local;;
Fatma Official;1;05/11/2023 01:36;Bagusan yg dlu min;;
Dedi Kurniawan;1;05/11/2023 01:03;Yg bener ath nyusahin masyarakat aja bisa nya 😐😐;;
Andy Setiawan;1;05/11/2023 00:53;Aplikasi malah susah, pembayaran tidak bisa dilakukan;;
Rendy Abid;1;05/11/2023 00:39;Tambah ribet,mau batalin tiket sulit gak kayak di gambar..gaada fitur pembatalan..aneh..padahal yg versi lama gampang bgt..aku mau ubah jadwal jadi gabisa;;
Daniel Sanjaya;1;04/11/2023 23:42;Tiba tiba keluar aplikasi terus mau masuk akun susah (notifikasi : Failed request data) pas masukin no hp / email di versi sebelum ini. Setelahnya mau update susah, ada jaringan bagus buat streaming video lancar tapi update nggak bisa. Aplikasinya malah bikin susah pengguna.;;
Praptowo;1;04/11/2023 23:06;Susah untuk log in;;
Afra Maula sari;1;04/11/2023 22:36;Bolak balek ngecek keberangkatan & mau psn tiket malah ga bs jgn kalian blg jaringan tdk efisien atau sinyal saya yg sedang tdk bagus dr rmh saya pke wifi trus saya mau psn tiket ga bisa2, lama2 kesel liat PT. KAI ini bknnya mempermudah masyarakat malah mempersulit 😡😡😤;;
ɢᴜꜱᴛɪ ᴀᴍᴀʀ ɢᴀɴᴅɪ;1;04/11/2023 22:06;Lebih Suka Yang Lama Dari Pada Yang Sekarang;;
Zakki Owl;1;04/11/2023 19:47;Waktu pembayaran selalu waktu habis bahkan untuk satu tiket aja ga bisa,,, dikasi waktu cuma 5 detik? Pake hape satunya sama saja,,, waktu habis??? Ga jelas banget;;
Fahmi Agus;1;04/11/2023 18:59;Apk bobrok ... Susah daftar ...;;
Ge ge;1;04/11/2023 18:19;Mohon maaf bnget KAI saya Lebih suka versi lama ga ribet, ini saya udah booking tiket pdahal udah bayar udah kepotong saldo tp malah di tiket saya ada pemberitahuan segera lakukan pembayaran, disuruh lakukan pembayaran tp cman ada batalkan tiket atau kembali ke home, saya bingung akhirnya saya beli tiket lg malah gabisa. Ini gimana sih tolonglah, saya udah nungguin smpe jm 12 malem supaya gampang dapet tiket, malah sistemnya error terus;;
Gilang Ekapaksi Yudha;1;04/11/2023 18:07;Versi terbaru semakin membingungkan, utk pemesanan kereta lokal yg lama biasa nya pergantian hari pukul 00.00 sudah bisa diakses. Namun yg terbaru sampai hampir 00.30 lebih baru ada itu pun sudah habis, bukan masalah provider atau sinyal, buktinya banyak yg lain memberikan ulasan yg sama. Belum lagi terkadang kereta lokal untuk ac banyak yg mati dan tk kunjung di perbaiki (Penataran dhoho);;
Baiq Titis Lidyawaty;1;04/11/2023 18:01;Kenapa sekarang kai access jadi seperti ini padahal udah bangun jam 00.00 untuk dapat tiket tapi di cari tiket belum tersedia, setelah beberapa menit tiket sudah tersedia tapi (tanpa kursi), sangat mengecewakan sih kyanya dulu gak seperti ini posisi saya perjalanan mulai dari tulungagung-surabaya (Gubeng), masa yg perjalanan jauh malah tanpa kursi sangat mengecewakan;;
Dinda Nadya;1;04/11/2023 18:00;Lebih suka aplikasi lama, pesen tiket udah mantengin aplikasi mulai dari jam 00.01 sampai jam 00.23 gak ada jadwal... keluar masuk keluar masuk aplikasi... Giliran sudah bisa di buka tiket habis, ganti jam gak bisa masukin nik... Buat apa aplikasi di perbarui kalau hasil nya tambah jelek banget... Kecewa banget dengan sistem KAI access saat ini...;;
okta muchrotun;1;04/11/2023 17:41;Lebih suka versi lama, yang baru ketersediaan kursi gak langsung muncul dan keterangan kelas kereta gak detail.. misal Sawunggalih kn ekonomi premium versi bru cm keterangan ny ekonomi sja;;
Jabar Hidayat S;1;04/11/2023 17:37;Woi dancok sistem e, tambah koyok gatel asu;;
Elisea Senja;1;04/11/2023 17:34;Lebih suka versi yg lama Ditunggu jam 00.00 di refresh berkali kali jadwal tidak tersedia.. pas jam 00.30 ada tapi tiket habis Jadi nyesel update;;
sabun sinswi;1;04/11/2023 17:27;Tambah jelek;;
Naila Syafiya;1;04/11/2023 17:19;ini kok jadwalnya belum tersedia ya diakun saya? padahal sengaja di cek jam 12 malam agar bisa war tiket soalnya kalo minggu cepet habis, malah di akun saya ngga tersedia jadwalnya, sudah saya refresh berkali-kali setiap menit tetap saja tidak ada, tolong dong saya juga pengen lama di rumah sengaja mesan yang war itu agar masih ada waktu sekitar 3 jam an di rumah malah sering tidak tersedia jadwalnya 👎;;
Studio Bakul;1;04/11/2023 17:04;Tolong di benahi servernya, masak udah kepotong uang nya tiket gak dapet;;
Lika Pradana;1;04/11/2023 17:02;Untuk stasiun linggau koq gak ada muncul y waktu awal ada2;;
Adila Febriana;1;04/11/2023 16:34;"Lebih suka versi sebelumnya. Yang ini sungguh butuh ngelag plus butuh koneksi yang bener"" lancar. Saya ganti bintangnya kalo udah baik kembali";;
Deni Kurniawan;1;04/11/2023 16:08;Maaf ini aplikasi kenapa tidak bisa lihat dan pesan tiket kereta api ya;;
M Harun Salim;1;04/11/2023 15:41;jangan download apk ini ,saya sudah beli tiket tapi tidak muncul segera ditindak lanjuti sama pihak berwajib;;
dias samsul;5;04/11/2023 15:33;Jos;;
Rahmanto Rahmanto;5;04/11/2023 14:40;Semakin lengkap fiturnya. Sukses buat KAI;;
Asep Surya Alfarisi;1;04/11/2023 13:30;Sekelas perusahaan BUMN tiket terlewat gk bisa refaund padahal diaturan bisa tapi realita hangus gak bisa balik lagi, sangat mengecewakan;;
Endy R Wibowo;4;04/11/2023 12:38;Harus di uninstal terus instal ulang baru bisa dipakai normal..;;
Adhinda Amalia;2;04/11/2023 11:43;Lebih enakan versi lama;;
Enah Alrafati;1;04/11/2023 11:40;Payah.... gk asyik aplikasi yg baru ini. Mo pesan gk ada kelanjutannya, mentok di daftar kereta aj;;
Harun Weinberg;1;04/11/2023 11:24;Aplikasinya menurut saya nih min lebih baik yang versi lama, saya bantu kasi kritikan dan masukan selaku pihak pengguna. 1. Akun gw sering logout sendiri min (setiap seminggu sekali), aneh nya yang versi lama tidak pernah kayak gini min 2. Kalau tiket nya sudah habis lebih baik tidak usah dimunculkan keretanya min biar pihak pengguna tidak 3. Pembayaran e walet nya bermasalah mohon dievaluasi lagi. 4. Untuk login kalau bisa kasih alternatif selain login pakai no hp, mungkin bisa ditambahkan;;
Nabila Bila;4;04/11/2023 11:12;Kk mengapa binjai ke Medan tdk bisa memilih kursi?? Dan tidak bisa menggunakan ovo;;
Donny Zahara;1;04/11/2023 11:00;Apk konyol gak bisa di upgrade;;
fitri indriani;1;04/11/2023 10:58;lebih suka version lama nya ketimbang yg sekarang, nggk fleksibel.;;
Mellyn Anjanie;1;04/11/2023 09:59;Lebih mudah versi yang lama. Untuk apa versi baru yg super lengkap tapi penggunaanya susah. Mau nyari tiket ada gangguan terus, pdhal sinyal saya lancar.;;
Harie R;3;04/11/2023 09:41;Sudah top up KAI Pay 1juta lebih. Akhirnya beku karena tidak bisa digunakan untuk pembayaran maupun pembelian apapun. Selalu diminta PIN. Lha di mana setting PINnya. Coba cari di pusat bantuan juga tidak ada. Mohon bantuannya untuk dijelaskan penggunaan pembayaran menggunakan KAI PAY. Karena dana saya sudah terlanjur masuk. Saya kalau pesan tiket akhirnya pakai E-Bangking biasa. Dana saya di KAI Pay mengendap.;;
lia etes;1;04/11/2023 09:13;Ini setiap pembayaran selalu gagal kenapa ya? Tulisan kadaluarsa, setiap mw top up jg gagal!;;
Sri Deby Saragih;1;04/11/2023 07:42;Aplikasi nya makin di update makin ga berkualitas setiap saat harus login ulang itu pun prosesnya lama;;
asadikajarharjo;5;04/11/2023 07:36;baik sekali;;
febrizal jainul rachman;1;04/11/2023 06:44;Aplikasinya hancur......trobel terus;;
Anggah McJazon;1;04/11/2023 06:09;Ok;;
Naufal Hafizh;5;04/11/2023 05:31;Sangat membantu;;
Ayam geprek Bos cip;1;04/11/2023 05:10;Kenapa ya pembayaran lewat ovo selalu terjadi kesalahan terus;;
Cynthia Setyawati;1;04/11/2023 04:55;Lebih suka aplikasi yg lama, lebih user friendly. Terus di aplikasi baru ini koq ngga ada pilihan reduksi lansia nya? Halo tim IT tolong dijawab, gimana cara pakai reduksi lansia di aplikasi yg baru ini;;
aprian harjo;1;04/11/2023 04:20;Aplikasi lelet mempersulit pemesanan, bug error terus merugikan!!!;;
Nadifatul Azizah;1;04/11/2023 04:13;Lebih enak apk yang lama gampang sekarang apk agaksusah di gunakan mau pilih tiket antar kota mesti eror mulu padal udah di rifres masi tetep aja sama gimana si;;
asep rm;1;04/11/2023 03:46;sudah transfer uang tiket dan uang sudah kepotong dari rekening. tapi tiket ndak keluar,. telp cs sudah dibantu untuk cancel. dari 1 september 2023 smpe sekarang tanggal 4 november 2023 belom ada pengembalian. cs nya diemail hanya bisa bilang mohon bersabar,. anda prioritas kami. prioritas kok dikecewakan gini to kai.. gmn tu sistem kerjanya. mohon di evaluasi kai.. yang ndak bisa kerja tu bagian mana. ganti aja. merugikan konsumen ini.. dan merusak citra bumn yang sudah dibangun dari 0.;;
Erwin Ketawa;1;04/11/2023 03:39;Aksesnya rumit, aplikasi jelek;;
eko waluyo;1;04/11/2023 03:38;tolong klo bsa kembali ke aplikasi yg lama aja g ribet ,pilhan layanan u bayar jg tersedia banyak ,akses jg mudah g lemot ,tolong di dengar keluah pengguna jasa kai kecewA deng apl yg baru yg lama udh bagus ko di ganti yg sangat jelek bukan maju malah mundur..;;
AL's SHid;1;04/11/2023 03:27;ikut ama yang laen aja alesannya;;
